iter	MAE	RMSE
0	1.038342439	1.423084454
1	1.025983109	1.408370604
2	1.013120949	1.393224453
3	1.003033808	1.378915462
4	0.9921988155	1.364885821
5	0.9817940666	1.350691712
6	0.9711321243	1.337782787
7	0.9613614387	1.32420651
8	0.9520864444	1.310257555
9	0.9479476527	1.304286769
10	0.9386542954	1.29248588
11	0.9297812347	1.28148452
12	0.9202070361	1.268424861
13	0.9115927593	1.257606791
14	0.902699861	1.244925166
15	0.8967521042	1.235697349
16	0.8893042482	1.224733422
17	0.8807192403	1.213406299
18	0.8700847843	1.200667307
19	0.8621310753	1.189757703
20	0.8543538518	1.179593811
21	0.8475059965	1.169769339
22	0.8409520573	1.160487045
23	0.8343891532	1.152337533
24	0.827185663	1.142898362
25	0.822154129	1.13508557
26	0.8166993752	1.127970328
27	0.8105877188	1.120582695
28	0.8050168189	1.114534639
29	0.7987105689	1.107389304
30	0.7928495607	1.099304489
31	0.7869543595	1.091597775
32	0.7805113479	1.082398689
33	0.7747238198	1.074931729
34	0.7676035411	1.066101653
35	0.7629180512	1.059591262
36	0.7585077693	1.052784781
37	0.75413456	1.045917842
38	0.7496838522	1.039209587
39	0.7457007259	1.033942561
40	0.7390344851	1.026106125
41	0.7351235884	1.019894292
42	0.7291684874	1.011229329
43	0.726502618	1.007381897
44	0.7234955753	1.00213655
45	0.7204314006	0.9976580516
46	0.7181144314	0.9936714952
47	0.713397012	0.9869643092
48	0.709725062	0.9820908242
49	0.7068972857	0.9771787216
50	0.7041071327	0.9726386934
51	0.7016087624	0.9684117115
52	0.6980395831	0.9631468591
53	0.6950640923	0.9586860183
54	0.6930458479	0.9550688235
55	0.6902358362	0.9507567229
56	0.6896788792	0.9494312594
57	0.688311353	0.9464909604
58	0.6864501164	0.9434929607
59	0.6840342196	0.9398264431
60	0.6829421551	0.9375189768
61	0.680787147	0.9342445722
62	0.6795316042	0.9316141245
63	0.6775120905	0.9281519962
64	0.6755284455	0.9251584584
65	0.6735806907	0.9221180337
66	0.671452768	0.9189300722
67	0.6708715504	0.9170260107
68	0.6695808678	0.9148914512
69	0.6681305295	0.912236229
70	0.6658082974	0.9092378819
71	0.6631710394	0.9056730968
72	0.6610353916	0.9027167948
73	0.6571545349	0.8981247475
74	0.6554759419	0.8954623316
75	0.6518997595	0.8908609911
76	0.6481287256	0.8864260189
77	0.6463402543	0.8838016837
78	0.6451032755	0.8817779857
79	0.6423739703	0.8784781077
80	0.6402741844	0.8754136993
81	0.6393390456	0.8734203289
82	0.6382093403	0.8712683088
83	0.6367327468	0.868820904
84	0.6337373383	0.865067442
85	0.632460232	0.8629151614
86	0.62948424	0.859513537
87	0.628385675	0.8574128496
88	0.6270435379	0.8552537022
89	0.6266272729	0.8541789026
90	0.6253161938	0.8523276108
91	0.6233358552	0.849361143
92	0.6223387522	0.8471584988
