iter	Passed	Remaining
0	1	1241
1	2	1080
2	3	1213
3	9	2311
4	10	2117
5	13	2169
6	14	2086
7	15	1973
8	16	1842
9	17	1715
10	18	1660
11	20	1669
12	21	1637
13	22	1616
14	23	1569
15	25	1538
16	25	1498
17	27	1480
18	28	1455
19	29	1427
20	30	1412
21	31	1393
22	33	1443
23	34	1421
24	36	1415
25	37	1399
26	38	1381
27	39	1365
28	39	1338
29	40	1324
30	42	1320
31	43	1310
32	44	1316
33	47	1356
34	49	1372
35	51	1376
36	52	1364
37	54	1372
38	55	1368
39	56	1367
40	58	1363
41	61	1395
42	62	1392
43	63	1385
44	65	1388
45	66	1380
46	67	1374
47	69	1374
48	70	1367
49	72	1372
50	75	1407
51	77	1406
52	78	1399
53	79	1392
54	80	1378
55	80	1363
56	81	1344
57	81	1331
58	82	1320
59	83	1306
60	83	1292
61	84	1279
62	85	1267
63	85	1255
64	86	1244
65	89	1260
66	90	1254
67	90	1242
68	91	1233
69	92	1223
70	92	1213
71	93	1204
72	94	1194
73	94	1185
74	95	1175
75	95	1165
76	96	1156
77	97	1146
78	97	1137
79	98	1127
80	98	1118
81	99	1113
82	100	1113
83	101	1110
84	102	1107
85	104	1106
86	105	1102
87	106	1098
88	106	1093
89	107	1087
90	108	1082
91	109	1080
92	110	1075
93	111	1074
94	112	1074
95	114	1078
96	115	1078
97	117	1078
98	118	1075
99	119	1076
100	120	1075
101	121	1071
102	122	1065
103	123	1060
104	123	1054
105	124	1051
106	125	1048
107	126	1045
108	129	1057
109	131	1062
110	132	1063
111	133	1058
112	134	1053
113	135	1049
114	135	1043
115	136	1038
116	136	1033
117	137	1027
118	137	1021
119	138	1015
120	139	1010
121	139	1005
122	140	1003
123	141	1002
124	143	1005
125	144	1001
126	144	996
127	145	991
128	146	987
129	146	983
130	147	978
131	148	973
132	148	969
133	149	965
134	149	960
135	150	956
136	151	952
137	151	948
138	152	944
139	153	939
140	154	940
141	155	937
142	156	936
143	156	932
144	157	928
145	158	924
146	158	920
147	159	917
148	159	913
149	160	908
150	160	904
151	161	900
152	162	897
153	163	897
154	164	894
155	164	889
156	165	887
157	166	886
158	167	885
159	168	887
160	169	884
161	170	883
162	171	880
